vol,cid,cite,abbrev,already_resolved,is_self_ref,author_name,work_title,context_before
1,ch004,Epist. ad Phil,epist,True,False,,,"""ο͂υτος εστιν ηε προς τον Πατερα αγουσα ηοσος, ηε πετρα, ηε κλεις, ηε ποιμεν"", etc, saith Ignatius:"
1,ch004,Tract. 1,tract,True,False,Origen of Alexandria,,"unto this testimony. And Origen expressly denies the words to be spoken of Peter, in Matthew 16:16 ("
1,ch004,lib. 1 cap. 3,lib,True,False,Eusebius of Caesarea,Preparation for the Gospel,"he spake and was spoken unto in the name of all the rest of the apostles. Euseb. Preparat. Evang.,"
1,ch004,lib. 2,lib,True,False,Hilary of Poitiers,On the Trinity,"aec est felix fidei Petra, Petri ore confessa, Tu es filius Dei vivi,</span>"" says Hilary de Trin.,"
1,ch004,Serm. 13,serm,True,False,,,"lium Dei vivi, aedificabo ecclesiam meam. Super me aedificabo te, non me super te:"" De Verbis Dom.,"
1,ch004,Tract. 124,tract,True,False,,,"urch I will build thee upon myself, and not myself on thee."" And he more fully declareth his mind: ("
1,ch004,Orat. 5,orat,True,False,Athanasius of Alexandria,,"ion, or if they did, wherein that difference lay. Athanasius at first affirmed them to be the same:"
1,ch004,Epist. ad Afric,epist,True,False,Athanasius of Alexandria,,"ein that difference lay. Athanasius at first affirmed them to be the same: Orat. 5 con. Arian., and"
1,ch004,Epist. 78,epist,True,False,Basil of Caesarea,Letters,"n. Basil denied them so to be, or that they were used unto the same purpose in the Council of Nice:"
1,ch004,Epist. 71,epist,True,False,,,"red of him in the East to confess ""tres hypostases,"" and he would only acknowledge ""tree personas:"""
1,ch004,"lib. 5 cap. 8, 9",lib,True,False,Augustine of Hippo,,"ge ""tree personas:"" Epist. 71. And Augustine gives an account of the same difference: De Trinitate,"
1,ch004,Epist. ad Succ,epist,True,False,,,"and humanity had ""μίαν φύσιν""<span lang=""la"" xml:lang=""la"">, one nature only. So he does plainly in"
1,ch004,lib. 4,lib,True,False,Lactantius,Divine Institutes,"lves to be wise unto sobriety, repressed this impious boldness. To this purpose speaks Lactantius: ("
1,ch004,lib. 5 cap. 2,lib,True,False,Eusebius of Caesarea,,"blind they are in the light.""  To the same purpose. speaks Eusebius at large: Demonstratio Evang.,"
1,ch004,Serm. 9,serm,True,False,Leo the Great,Sermons,"5 cap. 2.  Leo well adds hereunto the consideration of his incarnation, in these excellent words: ("
1,ch004,lib. 2,lib,True,False,Fulgentius of Ruspe,Ad Thrasimundum (To King Thrasimund),"t, in rebus divinis, etiamsi multum proficiat, semper sibi superesse quod quaerat"". See also Fulg.,"
1,ch004,Orat. 12,orat,True,False,Gregory of Nazianzus,,"ἀναφὴς ψηλαφᾶται, ὁ ἄχρονος ἄρχεται, ὁ υἱὸς Θεοῦ ὑιὸς ἀνθρώπου γίνεται"", saith Gregory Nazianzen, ("
1,ch004,lib. 4 cap. 5,lib,True,False,Eusebius of Caesarea,,"ear approaches whereof we are not able to bear. So is it illustrated by Eusebius: (Demonst. Evang.,"
1,ch004,Serm. 3,serm,True,False,Leo the Great,Sermons,"mmunicated unto us, in a way suited unto our reception and comprehension. So it is admired by Leo: ("
1,ch004,Epist. ad Hormi,epist,True,False,Augustine of Hippo,Eighty-Three Questions,"ual unto the Father."" See also Augustinus De Fide, ad Peter Diacon., cap. 17; Justitianus Imperator"
1,ch004,lib. 4 cap. 2,lib,True,False,Eusebius of Caesarea,,"nto them that believe.  Eusebius also speaks often unto this purpose, as: (Demonstratio Evangelica,"
1,ch004,lib. 2 cap. 17,lib,True,False,,,"o us. See the same book, chap. 7, to the same purpose; also, De Ecclesiast. Theol. contra Marcell.,"
1,ch004,lib. 4,lib,True,False,,,"o him"".  This is the great end of his being the representative image of God unto us And: (Stromat.,"
1,ch004,lib. 1 cap. 1,lib,True,False,Irenaeus of Lyon,Against Heresies,"is given in his prophetical office. So it is well expressed by Irenaeus, ""qui nil molitur inepte:"""
1,ch004,lib. 5 cap. 9,lib,True,False,Theodoret of Cyrrhus,Ecclesiastical History,"General Council in their letters unto the bishops of the west; as they are expressed in Theodoret,"
1,ch004,lib. 1 cap. 14,lib,True,False,Ambrose of Milan,,"on nominibus, erog non aliud nomen Patris est, ""etc., ""quia unus Deus:"" Ambrose, De Spirit. Sanct.,"
1,ch004,Orat. 40,orat,True,False,Gregory of Nazianzus,,"ινὸν τῶν τριῶν ἕν, ἡ θεότης"". — ""The one name common to the three is the Deity:"" Gregor. Nazianzen,"
1,ch004,Epist. 66,epist,True,False,Augustine of Hippo,Sermons,"ed, and each person participant of the same nature. See August. Lib. con. Serm. Arian, cap. 35, and"
1,ch004,lib. 3,lib,True,False,,,"ontended that he should have been incarnate, had man never fallen or sinned. Of these are Rupertus,"
1,ch004,lib. 3 cap. 4,lib,True,False,,,"b. 3, De Gloria et Honore Filii Hominis; Albertus Magnus, in 3 distinct. 10, a 4; Petrus Galatinus,"
1,ch004,"lib. 3, cap. 20, 21",lib,True,False,Irenaeus of Lyon,Against Heresies,"the incarnation of the eternal Word, and the condecencies unto divine wisdom therein. See Irenaeus,"
1,ch004,lib. 4 cap. 1-4,lib,True,False,Eusebius of Caesarea,,"cencies unto divine wisdom therein. See Irenaeus, lib. 3, cap. 20, 21; Eusebius, Demonst. Evangel.,"
1,ch004,"lib. 5 cap. 6, li",lib,True,False,Cyril of Alexandria,,"Irenaeus, lib. 3, cap. 20, 21; Eusebius, Demonst. Evangel., lib. 4 cap. 1-4, etc.; Cyril. Alexand.,"
1,ch004,Homil. 10,homil,True,False,John Chrysostom,,"gel., lib. 4 cap. 1-4, etc.; Cyril. Alexand., lib. 5 cap. 6, lib. 1. De Fide ad Regin.; Chrysostom,"
1,ch004,Serm. 18,serm,True,False,John Chrysostom,,"lib. 5 cap. 6, lib. 1. De Fide ad Regin.; Chrysostom, Homil. 10 in Johan., et in cap. 8, ad Romans"
1,ch004,lib. 13 cap. 13-20,lib,True,False,Augustine of Hippo,,"d Regin.; Chrysostom, Homil. 10 in Johan., et in cap. 8, ad Romans Serm. 18; Augustine, De Trinit.,"
1,ch004,"Epist. 13, 18",epist,True,False,Leo the Great,Sermons,"il. 10 in Johan., et in cap. 8, ad Romans Serm. 18; Augustine, De Trinit., lib. 13 cap. 13-20; Leo,"
1,ch004,lib. 1,lib,True,False,Basil of Caesarea,Letters,"lib. 13 cap. 13-20; Leo, Epist. 13, 18, Sermo. De Nativit. 1, 4, 10; Basil., in Psalm 48; Albinus,"
1,ch004,lib. 3,lib,True,False,John of Damascus,,"18, Sermo. De Nativit. 1, 4, 10; Basil., in Psalm 48; Albinus, lib. 1 in Johan. Cap. 11; Damascen.,"
1,ch004,lib. 3 cap. 20,lib,True,False,,,"had prevailed against, by his suggestion and temptation. To this purpose that holy writer speaks, ("
1,ch004,Dial. 2,dial,True,False,,,"purpose that holy writer speaks, (lib. 3 cap. 20,) which, because his words are cited by Theodore, ("
1,ch004,lib. 5 cap. 1,lib,True,False,,,"ing of the wisdom of God in our redemption by Christ, with respect unto the conquest of the devil: ("
1,ch004,lib. 5 cap. 14,lib,True,False,,,are at large discoursed in the ensuing treatise. To the same purpose speaks the same holy writer: (
1,ch004,lib. 5 cap. 1,lib,True,False,,,"ris plasmationem in se recapitulans, exquirens id quod perierat</span>"".  And to the same purpose: ("
1,ch004,lib. 5,lib,True,False,Irenaeus of Lyon,Against Heresies,"to us, that we might be made like unto him, and unto God through him. So speaks the same Irenaeus: ("
1,ch004,lib. 3 cap. 20,lib,True,False,,,"at he might make us what he is;"" that is, by the restoration of the image of God in us. And again: ("
1,ch004,Epist. 66,epist,True,False,,,"excitet animam tuam, hoc amore furibundus; quaere in lectulo tuo, quem desiderat anima tue:</span>"""
